npsn,nama,status,akreditasi,kab_kota,jml_jurusan_api,jml_jurusan_scrape,jurusan,jml_siswa,total_rombel
69939407,SMKS BINA GENERASI MANDIRI,Swasta,C,Kab. Polewali Mandar,4,2,Agribisnis Tanaman | Agribisnis Tanaman Perkebunan,44,3
40600211,UPTD SMKN KAROSSA,Negeri,A,Kab. Mamuju Tengah,16,8,Agribisnis Pengolahan Hasil Pertanian | Agriteknologi Pengolahan Hasil Pertanian | Desain Komunikasi Visual | Desain Pemodelan dan Informasi Bangunan | Manajemen Perkantoran | Manajemen Perkantoran dan Layanan Bisnis | Teknik Instalasi Tenaga Listrik | Teknik Ketenagalistrikan,213,15
40605628,UPTD SMKN 1 SARUDU,Negeri,B,Kab. Pasangkayu,8,4,Agribisnis Tanaman | Agribisnis Tanaman Perkebunan | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Komputer dan Jaringan,234,10
69774911,UPTD SMKN 1 BONEHAU,Negeri,C,Kab. Mamuju,6,4,Manajemen Perkantoran | Manajemen Perkantoran dan Layanan Bisnis | Otomatisasi dan Tata Kelola Perkantoran | Perhotelan,90,4
69899154,SMK BUNTU MASAKKE,Swasta,B,Kab. Mamasa,12,3,Teknik Alat Berat | Teknik Kendaraan Ringan | Teknik Otomotif,41,3
69774922,SMKS BINA BAKTI,Swasta,C,Kab. Mamuju,3,3,Manajemen Perkantoran | Manajemen Perkantoran dan Layanan Bisnis | Otomatisasi dan Tata Kelola Perkantoran,57,3
69824838,SMKS MITRA NUSANTARA,Swasta,C,Kab. Mamasa,3,3,Asisten Keperawatan | Otomatisasi dan Tata Kelola Perkantoran | Teknik dan Bisnis Sepeda Motor,27,3
40604625,UPTD SMKN 1 BARAS,Negeri,B,Kab. Pasangkayu,12,8,Agribisnis Tanaman | Agribisnis Tanaman Perkebunan | Busana | Desain dan Produksi Busana | Manajemen Perkantoran | Manajemen Perkantoran dan Layanan Bisnis | Teknik Otomotif | Teknik Sepeda Motor,213,13
40600657,SMKS MUHAMMADIYAH WONOMULYO,Swasta,B,Kab. Polewali Mandar,9,6,Busana | Desain dan Produksi Busana | Manajemen Perkantoran | Manajemen Perkantoran dan Layanan Bisnis | Teknik Kendaraan Ringan | Teknik Otomotif,268,9
69774912,UPTD SMK NEGERI 1 TOMMO,Negeri,C,Kab. Mamuju,8,6,Busana | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Kendaraan Ringan | Teknik Kendaraan Ringan Otomotif | Teknik Komputer dan Jaringan | Teknik Otomotif,95,7
40604711,UPTD SMKN TOPOYO,Negeri,B,Kab. Mamuju Tengah,26,11,Agribisnis Tanaman | Agribisnis Tanaman Pangan dan Hortikultura | Busana | Desain dan Produksi Busana | Teknik Audio Video | Teknik Elektronika | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Kendaraan Ringan | Teknik Komputer dan Jaringan | Teknik Otomotif | Teknik Sepeda Motor,374,18
40605310,SMKS ISLAM  PONIANG,Swasta,B,Kab. Majene,2,2,Agribisnis Tanaman Pangan dan Hortikultura | Multimedia,185,7
